congress_idx,text,King James Bible,American Standard Version,Douay-Rheims Bible,Darby Bible Translation,English Revised Version,Webster Bible Translation,World English Bible,Young's Literal Translation,American King James Version
388567,"Mr. McEachin cited during his first speech the words of Jesus' first sermon, ``The spirit of the Lord is upon me to bring good news to the poor.''","The Spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor; he hath sent me to heal the brokenhearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised,","The Spirit of the Lord is upon me, Because he anointed me to preach good tidings to the poor: He hath sent me to proclaim release to the captives, And recovering of sight to the blind, To set at liberty them that are bruised,","The Spirit of the Lord is upon me. Wherefore he hath anointed me to preach the gospel to the poor, he hath sent me to heal the contrite of heart, ","The Spirit of the Lord is upon me, because he has anointed me to preach glad tidings to the poor; he has sent me to preach to captives deliverance, and to the blind sight, to send forth the crushed delivered,","The Spirit of the Lord is upon me, Because he anointed me to preach good tidings to the poor: He hath sent me to proclaim release to the captives, And recovering of sight to the blind, To set at liberty them that are bruised,","The spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor; he hath sent me to heal the broken-hearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised,","|The Spirit of the Lord is on me, because he has anointed me to preach good news to the poor. He has sent me to heal the brokenhearted, to proclaim release to the captives, recovering of sight to the blind, to deliver those who are crushed,","The Spirit of the Lord is upon me, Because He did anoint me; To proclaim good news to the poor, Sent me to heal the broken of heart, To proclaim to captives deliverance, And to blind receiving of sight, To send away the bruised with deliverance,","The Spirit of the Lord is on me, because he has anointed me to preach the gospel to the poor; he has sent me to heal the brokenhearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised,"
2306458,"In the Gospel according to John, Jesus says, ``Peace I leave with you; My peace I give to you; not as the world gives do I give to you.","Peace I leave with you, my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be afraid.","Peace I leave with you; my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be fearful.","Peace I leave with you, my peace I give unto you: not as the world giveth, do I give unto you. Let not your heart be troubled, nor let it be afraid. ","I leave peace with you; I give my peace to you: not as the world gives do I give to you. Let not your heart be troubled, neither let it fear.","Peace I leave with you; my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be fearful.","Peace I leave with you, my peace I give to you: not as the world giveth, give I to you. Let not your heart be troubled, neither let it be afraid.","Peace I leave with you. My peace I give to you; not as the world gives, give I to you. Don't let your heart be troubled, neither let it be fearful.","'Peace I leave to you; my peace I give to you, not according as the world doth give do I give to you; let not your heart be troubled, nor let it be afraid;","Peace I leave with you, my peace I give to you: not as the world gives, give I to you. Let not your heart be troubled, neither let it be afraid."
1500117,"Then said I, `Here am I; send me.'","Also I heard the voice of the Lord, saying, Whom shall I send, and who will go for us? Then said I, Here am I; send me.","And I heard the voice of the Lord, saying, Whom shall I send, and who will go for us? Then I said, Here am I; send me.","And I heard the voice of the Lord, saying: Whom shall I send? and who shall go for us? And I said: Lo, here am I, send me. ","And I heard the voice of the Lord saying, Whom shall I send, and who will go for us? And I said, Here am I; send me.","And I heard the voice of the Lord, saying, Whom shall I send, and who will go for us? Then I said, Here am I; send me.","Also I heard the voice of the Lord, saying, Whom shall I send, and who will go for us? Then said I, Here am I; send me.","I heard the Lord's voice, saying, |Whom shall I send, and who will go for us?| Then I said, |Here I am. Send me!|","And I hear the voice of the Lord, saying: 'Whom do I send? and who doth go for Us?' And I say, 'Here am I, send me.'","Also I heard the voice of the Lord, saying, Whom shall I send, and who will go for us? Then said I, Here am I; send me."
787484,"Their mission is taken from the Book of Isaiah, ``to bind up the brokenhearted, to proclaim freedom for the captives, and release from darkness for the prisoners.''","The Spirit of the Lord GOD is upon me; because the LORD hath anointed me to preach good tidings unto the meek; he hath sent me to bind up the brokenhearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;","The Spirit of the Lord Jehovah is upon me; because Jehovah hath anointed me to preach good tidings unto the meek; he hath sent me to bind up the broken-hearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;","THE spirit of the Lord is upon me, because the Lord hath anointed me: he hath sent me to preach to the meek, to heal the contrite of heart, and to preach a release to the captives, and deliverance to them that are shut up. ","The Spirit of the Lord Jehovah is upon me, because Jehovah hath anointed me to announce glad tidings unto the meek; he hath sent me to bind up the broken-hearted, to proclaim liberty to the captives, and opening of the prison to them that are bound;","The spirit of the Lord GOD is upon me; because the LORD hath anointed me to preach good tidings unto the meek; he hath sent me to bind up the brokenhearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;","The Spirit of the Lord GOD is upon me; because the LORD hath anointed me to publish good tidings to the meek; he hath sent me to bind up the broken-hearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;","The Spirit of the Lord Yahweh is on me; because Yahweh has anointed me to preach good news to the humble. He has sent me to bind up the brokenhearted, to proclaim liberty to the captives, and release to those who are bound;","The Spirit of the Lord Jehovah is on me, Because Jehovah did anoint me To proclaim tidings to the humble, He sent me to bind the broken of heart, To proclaim to captives liberty, And to bound ones an opening of bands.","The Spirit of the Lord GOD is on me; because the LORD has anointed me to preach good tidings to the meek; he has sent me to bind up the brokenhearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;"
373263,"May their loved ones find abundant peace and confidence in Matthew 5:9, ``Blessed are the peacemakers, for they will be called the children of God.''",Blessed are the peacemakers: for they shall be called the children of God.,Blessed are the peacemakers: for they shall be called sons of God.,Blesses are the peacemakers: for they shall be called children of God. ,"Blessed the peace-makers, for they shall be called sons of God.",Blessed are the peacemakers: for they shall be called sons of God.,Blessed are the peace-makers: for they shall be called children of God.,"Blessed are the peacemakers, for they shall be called children of God.",Happy the peacemakers &#8212; because they shall be called Sons of God.,Blessed are the peacemakers: for they shall be called the children of God.
676177,"I will repay, saith the Lord.","Dearly beloved, avenge not yourselves, but rather give place unto wrath: for it is written, Vengeance is mine; I will repay, saith the Lord.","Avenge not yourselves, beloved, but give place unto the wrath of God : for it is written, Vengeance belongeth unto me; I will recompense, saith the Lord.","Revenge not yourselves, my dearly beloved; but give place unto wrath, for it is written: Revenge is mine, I will repay, saith the Lord. ","not avenging yourselves, beloved, but give place to wrath; for it is written, Vengeance belongs to me, I will recompense, saith the Lord.","Avenge not yourselves, beloved, but give place unto wrath: for it is written, Vengeance belongeth unto me; I will recompense, saith the Lord.","Dearly beloved, avenge not yourselves, but rather give place to wrath: for it is written, Vengeance is mine; I will repay, saith the Lord.","Don't seek revenge yourselves, beloved, but give place to God's wrath. For it is written, |Vengeance belongs to me; I will repay, says the Lord.|","not avenging yourselves, beloved, but give place to the wrath, for it hath been written, 'Vengeance is Mine,","Dearly beloved, avenge not yourselves, but rather give place to wrath: for it is written, Vengeance is mine; I will repay, said the Lord."
1442951,"As we've been assured, neither death nor life nor angels nor principalities, nor powers nor things present nor things to come nor height nor depth can separate us from God's love.","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,","For I am sure that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come, nor might, ","For I am persuaded that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,","for I am persuaded that neither death, nor life, nor messengers, nor principalities, nor powers, nor things present,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come,"
907687,"As the Good Book says in Acts 20:35, ``It is more blessed to give than to receive.''","I have shewed you all things, how that so labouring ye ought to support the weak, and to remember the words of the Lord Jesus, how he said, It is more blessed to give than to receive.","In all things I gave you an example, that so laboring ye ought to help the weak, and to remember the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.","I have shewed you all things, how that so labouring you ought to support the weak, and to remember the word of the Lord Jesus, how he said: It is a more blessed thing to give, rather than to receive. ","I have shewed you all things, that thus labouring we ought to come in aid of the weak, and to remember the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.","In all things I gave you an example, how that so labouring ye ought to help the weak, and to remember the words of the Lord Jesus, how he himself said, It is more blessed to give than to receive.","I have shown you all things, that so laboring ye ought to support the weak, and to remember the words of the Lord Jesus, that he said, It is more blessed to give than to receive.","In all things I gave you an example, that so laboring you ought to help the weak, and to remember the words of the Lord Jesus, that he himself said, 'It is more blessed to give than to receive.'|","all things I did shew you, that, thus labouring, it behoveth us to partake with the ailing, to be mindful also of the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.'","I have showed you all things, how that so laboring you ought to support the weak, and to remember the words of the Lord Jesus, how he said, It is more blessed to give than to receive."
197202,"I want to encourage the parish with the words of Matthew 5:16; ``Just so, your light must shine before others, that they may see your good deeds and glorify your heavenly Father.''","Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.","Even so let your light shine before men; that they may see your good works, and glorify your Father who is in heaven.","So let your light shine before men, that they may see your good works, and glorify your Father who is in heaven. ","Let your light thus shine before men, so that they may see your upright works, and glorify your Father who is in the heavens.","Even so let your light shine before men, that they may see your good works, and glorify your Father which is in heaven.","Let your light so shine before men, that they may see your good works, and glorify your Father who is in heaven.","Even so, let your light shine before men; that they may see your good works, and glorify your Father who is in heaven.","so let your light shine before men, that they may see your good works, and may glorify your Father who is in the heavens.","Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven."
915574,"I quote from the King James version of the Bible, chapter two of Luke: ``And it came to pass in those days that there went out a decree from Caesar Augustus that all the world should be taxed (or enrolled, according to the footnote) * * * And all went to be taxed, everyone into his own city.''","And it came to pass in those days, that he went out into a mountain to pray, and continued all night in prayer to God.","And it came to pass in these days, that he went out into the mountain to pray; and he continued all night in prayer to God.","And it came to pass in those days, that he went out into a mountain to pray, and he passed the whole night in the prayer of God. ","And it came to pass in those days that he went out into the mountain to pray, and he spent the night in prayer to God.","And it came to pass in these days, that he went out into the mountain to pray; and he continued all night in prayer to God.","And it came to pass in those days, that he went out to a mountain to pray, and continued all night in prayer to God.","It happened in these days, that he went out to the mountain to pray, and he continued all night in prayer to God.","And it came to pass in those days, he went forth to the mountain to pray, and was passing the night in the prayer of God,","And it came to pass in those days, that he went out into a mountain to pray, and continued all night in prayer to God."
2340613,"President Lincoln chose his Bible to be open to Matthew 7:1, ``Judge not, that ye be not judged.''","Judge not, that ye be not judged.","Judge not, that ye be not judged.","JUDGE not, that you may not be judged, ","Judge not, that ye may not be judged;","Judge not, that ye be not judged.","Judge not, that ye be not judged.","|Don't judge, so that you won't be judged.","'Judge not, that ye may not be judged,","Judge not, that you be not judged."
1265259,"We've been assured in the sacred writing, that unless the Lord build the House, they labor in vain that build it.","{A Song of degrees for Solomon.} Except the LORD build the house, they labour in vain that build it: except the LORD keep the city, the watchman waketh but in vain.","Except Jehovah build the house, They labor in vain that build it: Except Jehovah keep the city, The watchman waketh but in vain.","Unless the Lord build the house, they labour in vain that build it. Unless the Lord keep the city, he watcheth in vain that keepeth it. ","{A Song of degrees. Of Solomon.} Unless Jehovah build the house, in vain do its builders labour in it; unless Jehovah keep the city, the keeper watcheth in vain:","A Song of Ascents; of Solomon. Except the LORD build the house, they labour in vain that build it: except the LORD keep the city, the watchman waketh but in vain.","A Song of degrees for Solomon. Except the LORD shall build the house, they labor in vain that build it: except the LORD shall keep the city, the watchman waketh in vain.","Unless Yahweh builds the house, they labor in vain who build it. Unless Yahweh watches over the city, the watchman guards it in vain.","A Song of the Ascents, by Solomon. If Jehovah doth not build the house, In vain have its builders laboured at it, If Jehovah doth not watch a city, In vain hath a watchman waked.","Except the LORD build the house, they labor in vain that build it: except the LORD keep the city, the watchman wakes but in vain."
1116177,"It was, you know, let there be light and there was light.","And God said, Let there be light: and there was light.","And God said, Let there be light: and there was light.",And God said: Be light made. And light was made. ,"And God said, Let there be light. And there was light.","And God said, Let there be light: and there was light.","And God said, Let there be light: and there was light.","God said, |Let there be light,| and there was light.","and God saith, 'Let light be;' and light is.","And God said, Let there be light: and there was light."
1161514,"The President said: ``As we have been assured, neither death nor life, nor angels nor principalities nor powers, nor things present nor things to come, nor height nor depth can separate us from God's love.''","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,","For I am sure that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come, nor might, ","For I am persuaded that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,","for I am persuaded that neither death, nor life, nor messengers, nor principalities, nor powers, nor things present,","For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come,"
938685,Let's all of us get down on our knees and pray that the Holy Spirit will inspire us to remember Jesus' exultation to us--``Bless are the peacemakers for they shall be called the children of God.'',Blessed are the peacemakers: for they shall be called the children of God.,Blessed are the peacemakers: for they shall be called sons of God.,Blesses are the peacemakers: for they shall be called children of God. ,"Blessed the peace-makers, for they shall be called sons of God.",Blessed are the peacemakers: for they shall be called sons of God.,Blessed are the peace-makers: for they shall be called children of God.,"Blessed are the peacemakers, for they shall be called children of God.",Happy the peacemakers &#8212; because they shall be called Sons of God.,Blessed are the peacemakers: for they shall be called the children of God.
2284452,"It is the only religion that is truly based on love because to be a Christian, you have to believe God so loved the world that He gave His only Son, that whoever believed in His Son would not perish but have everlasting life.","For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.","For God so loved the world, that he gave his only begotten Son, that whosoever believeth on him should not perish, but have eternal life.","For God so loved the world, as to give his only begotten Son; that whosoever believeth in him, may not perish, but may have life everlasting. ","For God so loved the world, that he gave his only-begotten Son, that whosoever believes on him may not perish, but have life eternal.","For God so loved the world, that he gave his only begotten Son, that whosoever believeth on him should not perish, but have eternal life.","For God so loved the world, that he gave his only-begotten Son, that whoever believeth in him, should not perish, but have everlasting life.","For God so loved the world, that he gave his one and only Son, that whoever believes in him should not perish, but have eternal life.","for God did so love the world, that His Son &#8212; the only begotten &#8212; He gave, that every one who is believing in him may not perish, but may have life age-during.","For God so loved the world, that he gave his only begotten Son, that whoever believes in him should not perish, but have everlasting life."
840987,"But let me remind you then, in the 24th Psalm, it is written: ``The Earth is the Lord's and the fullness thereof, the world, and they that dwell therein, for He hath founded it upon the seas and established it upon the floods.''","{A Psalm of David.} The earth is the LORD'S, and the fulness thereof; the world, and they that dwell therein.","The earth is Jehovah's, and the fulness thereof; The world, and they that dwell therein.","On the first day of the week, a psalm for David. The earth is the Lord's and the fulness thereof: the world, and all they that dwell therein. ","{Of David. A Psalm.} The earth is Jehovah's, and the fulness thereof; the world, and they that dwell therein.","A Psalm of David. The earth is the LORD'S, and the fulness thereof; the world, and they that dwell therein.","A Psalm of David. The earth is the LORD'S, and the fullness thereof; the world, and they that dwell therein.","The earth is Yahweh's, with its fullness; the world, and those who dwell therein.","A Psalm of David. To Jehovah is the earth and its fulness, The world and the inhabitants in it.","The earth is the LORD's, and the fullness thereof; the world, and they that dwell therein."
1172582,"In Acts 20:35, the Lord Jesus himself said ``it is more blessed to give than to receive.''","I have shewed you all things, how that so labouring ye ought to support the weak, and to remember the words of the Lord Jesus, how he said, It is more blessed to give than to receive.","In all things I gave you an example, that so laboring ye ought to help the weak, and to remember the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.","I have shewed you all things, how that so labouring you ought to support the weak, and to remember the word of the Lord Jesus, how he said: It is a more blessed thing to give, rather than to receive. ","I have shewed you all things, that thus labouring we ought to come in aid of the weak, and to remember the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.","In all things I gave you an example, how that so labouring ye ought to help the weak, and to remember the words of the Lord Jesus, how he himself said, It is more blessed to give than to receive.","I have shown you all things, that so laboring ye ought to support the weak, and to remember the words of the Lord Jesus, that he said, It is more blessed to give than to receive.","In all things I gave you an example, that so laboring you ought to help the weak, and to remember the words of the Lord Jesus, that he himself said, 'It is more blessed to give than to receive.'|","all things I did shew you, that, thus labouring, it behoveth us to partake with the ailing, to be mindful also of the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.'","I have showed you all things, how that so laboring you ought to support the weak, and to remember the words of the Lord Jesus, how he said, It is more blessed to give than to receive."
1971360,"``Come unto me, all you who are burdened and heavy laden, and I will give you rest.''","Come unto me, all ye that labour and are heavy laden, and I will give you rest.","Come unto me, all ye that labor and are heavy laden, and I will give you rest.","Come to me, all you that labour, and are burdened, and I will refresh you. ","Come to me, all ye who labour and are burdened, and I will give you rest.","Come unto me, all ye that labour and are heavy laden, and I will give you rest.","Come to me, all ye that labor, and are heavy laden, and I will give you rest.","|Come to me, all you who labor and are heavily burdened, and I will give you rest.","'Come unto me, all ye labouring and burdened ones, and I will give you rest,","Come to me, all you that labor and are heavy laden, and I will give you rest."
122589,"The first: Love Thy Lord Thy God with all thy heart, all thy soul, all thy mind.","Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.","And he said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.","Jesus said to him: Thou shalt love the Lord thy God with thy whole heart, and with thy whole soul, and with thy whole mind. ","And he said to him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy understanding.","And he said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.","Jesus said to him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.","Jesus said to him, |'You shall love the Lord your God with all your heart, with all your soul, and with all your mind.'","And Jesus said to him, 'Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thine understanding &#8212; ","Jesus said to him, You shall love the Lord your God with all your heart, and with all your soul, and with all your mind."
210515,"I can remember a favorite verse that he used most of the time, a most common verse, the 23rd Psalm: The Lord is my Shepherd; I shall not want.",{A Psalm of David.} The LORD is my shepherd; I shall not want.,Jehovah is my shepherd; I shall not want.,A psalm for David. The Lord ruleth me: and I shall want nothing. ,{A Psalm of David.} Jehovah is my shepherd; I shall not want.,A Psalm of David. The LORD is my shepherd; I shall not want.,A Psalm of David. The LORD is my shepherd; I shall not want.,Yahweh is my shepherd: I shall lack nothing.,"A Psalm of David. Jehovah is my shepherd, I do not lack,",The LORD is my shepherd; I shall not want.
102955,"And if I go and prepare a place for you, I will come back and take you to be with Me that you may also be where I am.","And if I go and prepare a place for you, I will come again, and receive you unto myself; that where I am, there ye may be also.","And if I go and prepare a place for you, I come again, and will receive you unto myself; that where I am, there ye may be also.","And if I shall go, and prepare a place for you, I will come again, and will take you to myself; that where I am, you also may be. ","and if I go and shall prepare you a place, I am coming again and shall receive you to myself, that where I am ye also may be.","And if I go and prepare a place for you, I come again, and will receive you unto myself; that where I am, there ye may be also.","And if I go and prepare a place for you, I will come again and receive you to myself; that where I am, there ye may be also.","If I go and prepare a place for you, I will come again, and will receive you to myself; that where I am, you may be there also.","and if I go on and prepare for you a place, again do I come, and will receive you unto myself, that where I am ye also may be;","And if I go and prepare a place for you, I will come again, and receive you to myself; that where I am, there you may be also."
563516,I would like to quote a verse from the Bible which states ``Greater love hath no man than this that a man lay down his life for his friends'' John 15:13.,"Greater love hath no man than this, that a man lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love than this no man hath, that a man lay down his life for his friends. ","No one has greater love than this, that one should lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love has no one than this, that someone lay down his life for his friends.","greater love than this hath no one, that any one his life may lay down for his friends;","Greater love has no man than this, that a man lay down his life for his friends."
1925969,"Jesus said in John 15:13, ``Greater love hath no man than this, that he lay down his life for his friends.''","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love than this no man hath, that a man lay down his life for his friends. ","No one has greater love than this, that one should lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love has no one than this, that someone lay down his life for his friends.","greater love than this hath no one, that any one his life may lay down for his friends;","Greater love has no man than this, that a man lay down his life for his friends."
2300203,"The bible states that ``Upon this rock, I will build my church and the gates of hell shall not prevail against it''.","And I say also unto thee, That thou art Peter, and upon this rock I will build my church; and the gates of hell shall not prevail against it.","And I also say unto thee, that thou art Peter, and upon this rock I will build my church; and the gates of Hades shall not prevail against it.","And I say to thee: That thou art Peter; and upon this rock I will build my church, and the gates of hell shall not prevail against it. ","And I also, I say unto thee that thou art Peter, and on this rock I will build my assembly, and hades' gates shall not prevail against it.","And I also say unto thee, that thou art Peter, and upon this rock I will build my church; and the gates of Hades shall not prevail against it.","And I say also to thee, that thou art Peter, and upon this rock I will build my church: and the gates of hell shall not prevail against it.","I also tell you that you are Peter, and on this rock I will build my assembly, and the gates of Hades will not prevail against it.","'And I also say to thee, that thou art a rock, and upon this rock I will build my assembly, and gates of Hades shall not prevail against it;","And I say also to you, That you are Peter, and on this rock I will build my church; and the gates of hell shall not prevail against it."
2357938,"Then he quoted Paul's words: ``For I am not ashamed of the Gospel, for it is the power of God to salvation.''","For I am not ashamed of the gospel of Christ: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek.","For I am not ashamed of the gospel: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek.","For I am not ashamed of the gospel. For it is the power of God unto salvation to every one that believeth, to the Jew first, and to the Greek. ","For I am not ashamed of the glad tidings; for it is God's power to salvation, to every one that believes, both to Jew first and to Greek:","For I am not ashamed of the gospel: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek.","For I am not ashamed of the gospel of Christ: for it is the power of God to salvation to every one that believeth; to the Jew first, and also to the Greek.","For I am not ashamed of the Good News of Christ, for it is the power of God for salvation for everyone who believes; for the Jew first, and also for the Greek.","for I am not ashamed of the good news of the Christ, for it is the power of God to salvation to every one who is believing, both to Jew first, and to Greek.","For I am not ashamed of the gospel of Christ: for it is the power of God to salvation to every one that believes; to the Jew first, and also to the Greek."
1338838,Even though I walk through the valley of the shadow of death-- I can guarantee those people in Arkansas know they have walked through the valley of the shadow of death-- I will fear no evil; for you are with me.,"Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me.","Yea, thou I walk through the valley of the shadow of death, I will fear no evil; for thou art with me; Thy rod and thy staff, they comfort me.","For though I should walk in the midst of the shadow of death, I will fear no evils, for thou art with me. Thy rod and thy staff, they have comforted me. ","Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff, they comfort me.","Yea, though I walk through the valley of the shadow of death, I will fear no evil; for thou art with me: thy rod and thy staff, they comfort me.","Yes, though I walk through the valley of the shades of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me.","Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.","Also &#8212; when I walk in a valley of death-shade, I fear no evil, for Thou art with me, Thy rod and Thy staff &#8212; they comfort me.","Yes, though I walk through the valley of the shadow of death, I will fear no evil: for you are with me; your rod and your staff they comfort me."
2306484,"The Old Testament prophet declares it is not by might, nor by power but by My Spirit, saith the Lord.","Then he answered and spake unto me, saying, This is the word of the LORD unto Zerubbabel, saying, Not by might, nor by power, but by my spirit, saith the LORD of hosts.","Then he answered and spake unto me, saying, This is the word of Jehovah unto Zerubbabel, saying, Not by might, nor by power, but by my Spirit, saith Jehovah of hosts.","And he answered, and spoke to me, saying: This is the word of the Lord to Zorobabel, saying: Not with an army, nor by might, but by my spirit, saith the Lord of hosts. ","And he answered and spoke unto me, saying, This is the word of Jehovah unto Zerubbabel, saying, Not by might, nor by power, but by my Spirit, saith Jehovah of hosts.","Then he answered and spake unto me, saying, This is the word of the LORD unto Zerubbabel, saying, Not by might, nor by power, but by my spirit, saith the LORD of hosts.","Then he answered and spoke to me, saying, This is the word of the LORD to Zerubbabel, saying, Not by might, nor by power, but by my spirit, saith the LORD of hosts.","Then he answered and spoke to me, saying, |This is the word of Yahweh to Zerubbabel, saying, 'Not by might, nor by power, but by my Spirit,' says Yahweh of Armies.","And he answereth and speaketh unto me, saying: 'This is a word of Jehovah unto Zerubbabel, saying: Not by a force, nor by power, But &#8212; by My Spirit, said Jehovah of Hosts.","Then he answered and spoke to me, saying, This is the word of the LORD to Zerubbabel, saying, Not by might, nor by power, but by my spirit, said the LORD of hosts."
314520,"Her favorite scripture is John 10:10, ``I have come that they might have life, and that they might have it more abundantly.''","The thief cometh not, but for to steal, and to kill, and to destroy: I am come that they might have life, and that they might have it more abundantly.","The thief cometh not, but that he may steal, and kill, and destroy: I came that they may have life, and may have it abundantly.","The thief cometh not, but for to steal, and to kill, and to destroy. I am come that they may have life, and may have it more abundantly. ","The thief comes not but that he may steal, and kill, and destroy: I am come that they might have life, and might have it abundantly.","The thief cometh not, but that he may steal, and kill, and destroy: I came that they may have life, and may have it abundantly.","The thief cometh not, but to steal, and to kill, and to destroy: I am come that they may have life, and that they may have it more abundantly.","The thief only comes to steal, kill, and destroy. I came that they may have life, and may have it abundantly.","The thief doth not come, except that he may steal, and kill, and destroy; I came that they may have life, and may have it abundantly.","The thief comes not, but for to steal, and to kill, and to destroy: I am come that they might have life, and that they might have it more abundantly."
857332,"Let us hearken again to the angel choir singing, `Glory to God in the highest, and on Earth peace, goodwill toward men.'","Glory to God in the highest, and on earth peace, good will toward men.","Glory to God in the highest, And on earth peace among men in whom he is well pleased.",Glory to God in the highest; and on earth peace to men of good will. ,"Glory to God in the highest, and on earth peace, good pleasure in men.","Glory to God in the highest, And on earth peace among men in whom he is well pleased.","Glory to God in the highest, and on earth peace, good will towards men.","|Glory to God in the highest, on earth peace, good will toward men.|","Glory in the highest to God, and upon earth peace, among men &#8212; good will.'","Glory to God in the highest, and on earth peace, good will toward men."
1886979,E. Except a man be born again he cannot see the Kingdom of God.,"Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God.","Jesus answered and said unto him, Verily, verily, I say unto thee, Except one be born anew, he cannot see the kingdom of God.","Jesus answered, and said to him: Amen, amen I say to thee, unless a man be born again, he cannot see the kingdom of God. ","Jesus answered and said to him, Verily, verily, I say unto thee, Except any one be born anew he cannot see the kingdom of God.","Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born anew, he cannot see the kingdom of God.","Jesus answered and said to him, Verily, verily, I say to thee, Except a man be born again, he cannot see the kingdom of God.","Jesus answered him, |Most certainly, I tell you, unless one is born anew, he can't see the Kingdom of God.|","Jesus answered and said to him, 'Verily, verily, I say to thee, If any one may not be born from above, he is not able to see the reign of God;'","Jesus answered and said to him, Truly, truly, I say to you, Except a man be born again, he cannot see the kingdom of God."
