Hwy. 5 Milan, Missouri 63556
Malone Rd Douglasville, Georgia 30134
720 Mt. Zion Rd., South Carolina 29847
98-1098 Moanalua Road   Aiea, Hawaii 96701 
8 Verplank St. Buffalo, New York 14208
4275 Harris Hill Road Williamsville, New York 14221
119 W. High Street Blenheim, South Carolina 29516
208 Landmark Place Lexington, North Carolina 27292
17 Herzog Place Hicksville, New York 11801
3044 Old Wilkesboro Rd. Jefferson, North Carolina 28640
2908 Farrow Rd Columbia, South Carolina 29223
9517 Newell Hickory Grove Rd  Charlotte, North Carolina 28215
kuching tabuan desa kuching, Minnesota 96000
Martin Luther King Blvd East Orange, New Jersey 07017
8851N 250W Wawaka, Indiana 46794
102 Barbara Ave. Midway Park, North Carolina 28544
480 Hwy 49 north Concord, North Carolina 28025
66 Pembrook Dr. Stony Brook, New York 11790
P.O. BOX 539 Mercedes , Texas 78570
517 W. 35th St. New York, New York 10001
309 Youman Ave. Batesburg, South Carolina 29006
225 KINGSOOD ESTATES CULLODEN, West Virginia 25510
Hwy 3 Marysville, Indiana 47111
105 Southbridge Rd. Dudley, Massachusetts 1571
453 Elmont Rd Elmont, New York 11003
1503 E. Lee Road Taylors, South Carolina 29687
132 Rice St. Easley, S.C. Easley, South Carolina 29640
4548  Hwy 221 N. Marion, North Carolina 28761
435 NC Hwy 62 West Randleman, North Carolina 27317
Hwy 179 Gritney, Florida 32427
28 East Branch Avenue Pine Hill, New Jersey 8021
VocalBillity.com Mesa, Arizona 85206
Liesure Road Grove, Oklahoma 74344
loganville Ga Loganville, Georgia 30052
Charleston Blvd &amp; Marion Dr Las Vegas, Nevada 89104
chases mill rd. east machias, Maine 4630
p.o. box 1175 Topock, Arizona 86436
4525 East WT Harris Blvd Charlotte, North Carolina 28215
6869 Parkers Ferry Rd Adams Run, South Carolina 29426
515 E Church Rd Easley , South Carolina 29642
408 W. Main St Wallace, North Carolina 28466
300 Baca Street Las Vegas, New Mexico 87701
800 Turnpike Rd New Ipswich, New Hampshire 3071
9150-7 FM 78 Converse, Texas 78109
417 S. 3rd St. St. Pauls, North Carolina 28384
375 Broad Street Providence, Rhode Island 02907
201 Whiteville Avenue Lumberton, North Carolina 28358
6712 Church St. Falcon, North Carolina 28342
Anjung Eup Pyoung Taek City, Texas 451-765
1736 Roaring Creek Rd. Newland, North Carolina 28716
6952 St Andrews Rd Columbia, South Carolina 29212
399 Beaverdam Road Asheville, North Carolina 28804
330 N. 3rd St. Raton, New Mexico 87740-3813
PO Box 58147 Washington, District of Columbia 20037
P.O. Box 2024 Cary, North Carolina 27512-2024
24A Pine Trail Groton, Massachusetts 01450
P.O&gt;Box 3620, Abeokuta, Nigeria Abeokuta, Mississippi 110001
P. O. Box 147 Suwannee, Florida 32692
2708 North High Street Wellsburg, West Virginia 26070
3361-A Bennett Schoolhouse Road Wheelersburg, Ohio 45694
Kirkoswald Penrith, Florida CA10 1EW
po box 106 stetsonville, Wisconsin 54480
Old Jenks Apex, North Carolina 27523
252 86th Street Brooklyn , New York 11209
1184 Hilby Ave Seaside,, California 93955
76 Main Street Flanders, New Jersey 07836
40NW 144 edmond, Oklahoma 73013
P. O. Box 1405 Hamilton, Alabama 35570
310 N Morgan Ave Andrews, South Carolina 29510
12 Edsall Hamburg, New Jersey 07419
Old Highschool Gym Fremont, Indiana 46737
Seminary Street Florence, Alabama 35630
3031 4th Avenue Huntington, West Virginia 25702
Box 98 Prairie du Sac, Wisconsin 53578
8a Odegbami Street Ikeja, Pennsylvania 19422
   , Arizona 00000
8303-J E 111 St South Bixby, Oklahoma 74008
111 I don't know Winterville, North Carolina 27858
p.o. box 117 catron, Missouri 63833
BC Box 454 Bridgewater, Virginia 22812
One Amwell Road Hillsborough, New Jersey 08844
Potomac Avenue Sterling, Virginia 20147
pob69 Sebasco Estates, Maine 04565
1658 Duncan's Creek Road Ellenboro, North Carolina 28040
highway hh farmington, Missouri 63640
169th Fires Brigade Army National Guard Fort Carson, Colorado 80913
2635 S NC Hwy 11 Rose Hill, North Carolina 28458
Boulder Jr. Academy - 2641 4th Street Boulder, Colorado 80302
Hwy 315 Sardis, Mississippi 38666
507 Park Street Bridgeport, West Virginia 26330
219 Old Schroon Rd. Pottersville, New York 12860
3337 Braden Drive Bessemer City, North Carolina 28936
John Harden Drive Jacksonville, Arkansas 72076
Front St Shelby, North Carolina 28729
219 Kearney ave Raton, New Mexico 87740
pobox296 wartburg, Tennessee 37887
Estanciero Missions Viejo, California 92692
1373 Delwood Dr. SW Lenoir, North Carolina 28645
Homewood Suites Hilton Columbia, Maryland 21045
1 1, Florida 1
Rt. 1 Box 38 California, Kentucky 41007
126 Court St. Binghamon, New York 13901
28 Hedgehog Rd Trumbull, Connecticut 6611
135 Hill Street Asheville, North Carolina 28801
574 Rimer Pond Road Blythewood, South Carolina 29016
Poplar Level Rd Louisville, Kentucky 40219
500 Remington Ave Bismarck, North Dakota 58503
103 Hush Hole Road Travelers Rest, South Carolina 29690
Resonate Pearl City, Hawaii 96782
Hwy 589 Ferriday, Louisiana 71334
3271 Peachtree Rd Chesnee, South Carolina 29323
 Saint Patrick St Boise, Idaho 83301
3980 Victory Blvd Staten Island, New York 10314
RT 1, BOX84AA  MILLRY, Alabama 36558
orchard st springfield, Massachusetts 1107
Andrews University Berrien Springs, Michigan 49103
Lind road Marburg port  shepstone
696 New Harrison Bridge Rd Simpsonville, South Carolina 29681
6103 NC 22 Climax, North Carolina 27233
Internet Altus, Oklahoma 73521
753 West Main Street Laurens, South Carolina 29360
159 Schmidts Lane Staten Island, New York 10314
Jaycee Hut Pembroke, North Carolina 28372
Mill &amp; Jackson Athens, Illinois 62613
FMC Carswell Fort Worth, Texas 76127
P. O. Box 306, 506 S. Main Street Hillsboro, Illinois 62049
1431 Old Trail Drive Anderson, South Carolina 29626
735 Pleasant Home Church Rd Millers Creek, North Carolina 28697
Box 425 Shoals, Indiana 47581
501 East 3rd St Larimore, North Dakota 58251
1154 White Plains Rd Bronx, New York 10472
2707 Main Street Sayreville, New Jersey 08872
BEERSBRIDGE ROAD
P.O. Box 98 Tar Heel, North Carolina 28392
2101 Carmel Road Charlotte, North Carolina 28226
47-01 Queens Blvd Sunnyside, New York 11104
386 Phillips Valley Rd. Mars Hill, North Carolina 28714
Vineyard Workers Church, Dapodi Pune Pune, District of Columbia 411020
HCR 72, Box 24 Richfield, Pennsylvania 17086
One Saddleback Pkwy Lake Forest, California 92630
2954 North Oxford Street  Claremont, North Carolina 28610
30 White Street New Haven, Connecticut 6519
Highway 92 Williamsburg, Kentucky 40769
290 Park Ave Corning, New York 14830
Still Searching Lawton, Oklahoma 73501
p.o.box 177 Henagar, Alabama 35978
300 Wesleyan Drive McAdenville, North Carolina 28101
233 Main Street Ledgewood, New Jersey 07852
Racetrack Road Sophia, North Carolina 27350
ALMEDA-GENOA RD HOUSTON, Texas 77075
P. O. Box 177 Fairfield, Iowa 52556
PO Drawer P Winchester, Tennessee 37398
P. O. Box 11870 Montgomery, Alabama 36111
42150Schoolcraft Rd Plymouth, Michigan 48170
3405 Vereda Baja Santa Fe, New Mexico 87507
53 Birchwood Drive Holden, Massachusetts 1520
1101 Boston Road Bronx, Ny, New York 10456
Parker Road Montrose, Alabama 36605
P.O.Box 229 Youngstown, Florida 32466
Natural Bridge Airport Hilton St. Louis, Missouri 63034
County Road 1 Collinsville, Alabama 35963
50 Dr. Marcus F. Wheatland Blvd Newport, Rhode Island 2840
1240 East 7th St Plainfield, New Jersey 07062
517 W. 35th St New York, New York 10001
280 E. Third Mission, South Dakota 57555
On-Line Ministry On-Line Ministry, Maryland 00000
117 West Hill Ave. South  Hillsborough, North Carolina 27278
Green Pastures MCGS Church Saint Augustine, Florida 32092
NW 20th and Hunter Rd Towanda, Kansas 67144
P. O. Box 461 Winona, Mississippi 39117
301 Navajo Drive Hobbs, New Mexico 88240
PO Box  9708 Newport Beach, California 92658
2420 Bannister Rd. Carlsbad, New Mexico 88220
545 Crooked Creek Rd.  Peach Creek, West Virginia 25639
Anchor Of Hope Facility Silverdale, Washington 98311
1721North Fifth St Harrisburg, Pennsylvania 17102
PO Box 450 Portales, New Mexico 88130
P. O. Box 2988 Atlantic Beach, North Carolina 28512
Church St. Orchardville, Illinois 62895
7764 Sumter Highway Alcolu, South Carolina 29001
471 Lynam Road Sumter, South Carolina 29150
Mark Drive Smithfield, Pennsylvania 15478
worldwide web, Tennessee 0
Rt. 250 N Metz, West Virginia 26555
Bala Chitto Road Magnolia, Mississippi 39652
421 E. Clark St St. Pauls, North Carolina 28384
521 Tar Heel Ferry Rd Tar Heel, North Carolina 28392
Hwy 301N Hamer, South Carolina 29547
7007 NC 66 Hwy S King, North Carolina 27021
Binuangan, Obando, Bulacan Obando, California 14000
1800 S. Locust Las Cruces, New Mexico 88012
132-B Dora Access Road Van Buren, Arkansas 72956 
Highway 105 W. Clevland, Texas 77320
225 Earle Ave. Lynbrook, New York 11563
1646 NC HWY 801 N Mocksville, North Carolina 27646
1410 4th Avenue Charleston, West Virginia 25302
94-102 Kaupu Place Waipahu, Hawaii 96797
PO Box 60 Lost Creek, West Virginia 26385
Holy Trinity  Weston Super Mare, Alaska s20 2GS
PO Box 337 Elgin, South Carolina 29045
PO Box  2857 Cedar Hill, Texas 75106
www.jimwilsonministries.com Atlanta, Georgia 30303
49 Bingham Road Marlboro, New York 12542
4893 BEESON FARM RD. SOPHIA, North Carolina 27350
4308 Rosehill Rd Fayetteville , North Carolina 28311
124 Milton Road Rochester, New Hampshire 03868
W163 Germantown, Wisconsin 53022
N3694 Old F Road Rio, Wisconsin 53960
Fitzpatrick Rd Fitzpatrick, Alabama 36029
p.o. Box 403 Lawrenceville, Illinois 62439
1901 17th Ave. NE Rio Rancho, New Mexico 87144
217 Gregg Avenue Aiken, South Carolina 29801
P.O. 343 Hwy 6 South Navasota, Texas 77868
R. D. 1  Martinsburg, Pennsylvania 16662
Bristow Christian Church Bristow, Indiana 47515
463 Amboy Ave Perth Amboy , New Jersey 08861
HWY 36 West Point, Arkansas 72178
P.O. Box 676 Greenville, South Carolina 29662
HC 70 Box 422 White Sulphur Springs, West Virginia 24986
U.S. Highway 29 North Hull, Georgia 30646
Milligan Springs Rd Winona, Mississippi 39767
328 Chapel St. Pickstown, South Dakota 57367
1219 Ratzer RD Wayne, New Jersey 07470
175 S Main Street Attleboro, Massachusetts 2703
63rd &amp; Malvern Sts. Philadelphia, Pennsylvania 19151
P.O. box 377 Commerce, Georgia 30529
Box 8324 Rockford, Illinois 61109-8324
Hwy 41 Greenbrier, Tennessee 37073
PO Box 395 Kershaw, South Carolina 29067
Christian Springs Church Rd Odum, Georgia 31546
24th &amp; Grand Granite City, Illinois 62040
3520 Mineral Springs Road Lexington, South Carolina 29073
8349 Valley Falls Rd. Spartanburg, South Carolina 29316
9572 Main Street Castalia, North Carolina 27816
none none, Montana 59801
27 Singing Pines dr Candler, North Carolina 28715
1008 Sage Place Pierre, South Dakota 57501
do not know Rogers, Arkansas unknown
215 53rd St. Albuquerque, New Mexico 87105
Box 126  Vincent, Ohio 45784
187 Domdodema rd Plumtree, Alabama +263
6336Anderson St. Philadelphia, Pennsylvania 19138
133 Cross Lanes Drive Nitro, West Virginia 25143
6820 W. 26th St. Sioux Falls, South Dakota 57106
903 S. CC Road Ahoskie, North Carolina 27910
2658 Fairforest/Clevedale rd Spartanburg, South Carolina 29301
RR 1 Box 172-B Wadesboro, North Carolina 28170
5 S. 4th Carolina Beach, North Carolina 28425
Bldg 500 Fort Monmouth, New Jersey 07703
7909 US Hwy 70 East Nebo, North Carolina 28761
Online greenville, North Carolina 27834
Hwy. 160 Ft. Garland, Colorado 81101
1700 Textile Greensboro, North Carolina 27405
112 Wilkeshire Road Rocky Mount, North Carolina 27804
2858 Flint Hill Rd Alexander City, Alabama AL
East Main Street Flemingsburg, Kentucky 41041
74-4972 Kealakaa Street Kailua-Kona, Hawaii 96740
230-232 E. Church St. Marion , Ohio 43302
501 Hawthorne Ln Charlotte, North Carolina 28204
501 Holly St E Hampton, South Carolina 29924
Morvant Street Baker, Louisiana 70714
POB 775 VIDALIA, Georgia 30475
P. O. Box 1854 Goldenrod, Florida 32733
Trinity United Church Of Christ Reading, Pennsylvania 19606
Princeton Rd Hamilton, Ohio 45011
PO 231 Ottawa, West Virginia 25149
3rd Street Wood Lake, Minnesota 56297
McGrath Street Colorado Springs, Colorado 80906
2839 Route 94 Washingtonville, New York 10992
church Hill Rd West Point, Mississippi 39773
E 126th St Fishers, Indiana 46038
P. O. Box361212 Strongsville, Ohio 44136
842 Ophir Ave. Troy, North Carolina 27371
1964 Mixon Corner Rd. Fairfax, South Carolina 29827
P. O. Box 1149 Rockwall, Texas 75087
Main St Toledo, Ohio 43605
36 Bay Shore Road West Islip, New York 11729
x x, Missouri 63382
504 Whites Mill Road Statesville, North Carolina 28677
Po Box 5127 Durant , Oklahoma 74701
unknown Avoca, New York 14809
179 Ontario Street Buffalo, New York 14207
First St Clarksville, Pennsylvania 15322
2140 W. S, R, 434 Longwood, Florida 32779
405 E. Main St Union, South Carolina 29379
Box 435 Vashon, Washington 98070
Bldg 791 Schofield Barracks, Hawaii 96857
2368 Childress Road Alum Creek, West Virginia 25003
1405 Winston Rd lexington, North Carolina 27295
PO Box 854 Irmo, South Carolina 29063
5901 Nations Ford Rd. Charlotte, North Carolina 28217
Raising a Standard Ministries Jellico, Tennessee 37762
po box 25 otter creek, Florida 32683
1838 Shore Road Linwood, New Jersey 08221
11th Pointer Trail Van Buren, Arkansas 72956
3333 Kershaw Camden Hwy. Lancaster, South Carolina 29720
2100 New Hampshire Ave. Washington, District of Columbia 20009
Box 944 Camino, California 95709
xxx xxx Pinellas, Florida 33782
8 elkins rd Gorham, Maine 4038
McCart Ave. Fort Worth, Texas 76133
13 Cole St Logan, West Virginia 25601
1060 Red Hill Road Huger, South Carolina 29450
400 S. Sycamore Ave Sioux Falls, South Dakota 57110
 307 FM 2610 Romayor, Texas 77368
P.O.Box 1311 Sioux City, Iowa 51102
113 S. Hillside Ave. Succasunna, New Jersey 07876
9427 Maynard Dr Marcy, New York 13403
P. O. Box 37735 Oak Park , Michigan 48237
2402B N.Gessner Houston, Texas 77080
PO BOX 218 Ulster, Pennsylvania 18850
P O Box  Ninnekah, Oklahoma 73018
Mailing: 2501 W. Dunlap   Phoenix, Arizona 85021
7 Old Route 146 Clifton Park, New York 12065
P.O. BOX LANSING, Kansas 66043
PO  Box 919 Denville, New Jersey 7866
201 Wayne Street Badin, North Carolina 28009
c/o 4th &amp; Main Morton, Washington 98356
489 W. Fulton St. ext. gloversville, New York 12078
140 Genesee St. Lockport, New York 14094
Bldg. 228  Fort Riley, Kansas 66442
 300 E Oak St  Red Oak, Iowa  51566
4317 NC 24 E Beulaville, North Carolina 28518
P.O. Box 1059 Oakwood, , Georgia 30566
15480 Pocotaligo Road Varnville, South Carolina 29944
Missing
1581 Live Oak Church Rd. Selma, North Carolina 27576
AL Hwy. 20 Town Creek, Alabama 35672
350 Chili-Scottsville Rd Chruchville, New York 14428
336 Dents Run Road Morgantown, West Virginia 26502
PO Box 985 Concord, North Carolina 28026
1187 US Highway 1 Littleton, Maine 4730
Box 9 Maryville, Illinois 62062
17 Alexander St Newark, New Jersey 07106
Rt. 1, Box 137 Brownstown, Illinois 62418
346 Bird Ave. Buffalo, New York 14213
3846 Hwy 87, Unit B Boiling Spring Lakes, North Carolina 28461
1111 W Georgia Rd. Simpsonville, South Carolina 29680
St Pauls Comway, South Carolina 29526
251 Main Street Woonsocket, Rhode Island 02895
222-57 Braddock ave Queens village, New York 11428
27 Singing Pines Dr. Candler, North Carolina 28715
4061 Shuman St Rock Hill, South Carolina 29732
5117 Clifffdale Rd Fayetteville, North Carolina 28314
1406 West Innes Salisbury, North Carolina 28146
381 Manton Avenue Providence, Rhode Island 02909
7449 Forney Hill Road Denver, North Carolina 28037
216-11Merrick Blvd.  Laurelton, New York 11413
12917T Jefferson Avenue, P. O. Box 15292 Newport News, Virginia 23608
Hwy 15 Creedmoor, North Carolina 27522
P. O. Box 393 Mount Pleasant, South Carolina 29465
217 Acree Lane Elkview, West Virginia 25701
12205 SD Hwy 34 Whitewood, South Dakota 57793
N/a McDermott, Ohio 45652
2473 Mt. Hebron Road Old Fort, North Carolina 28762
Lenabon rd Eupora, Mississippi 39744
85 Highway 70 East Smyrna, North Carolina 28579
PO Box 787 Gauley Bridge, West Virginia 25085
W2799 Lehman Road Neoso, Wisconsin 5305
65 Rockley Rd. Morgantown, West Virginia 26508
PMB 293, 8918 W 21st st. N.  Wichita, Kansas 67205
107 Calvin Heights St. Morganton, North Carolina 28655
111 BELMONT, North Carolina 28012
405 Cedar St Beaufort, North Carolina 28516
24 Leroy Street Potsdam, New York 13676-1740
Julie Lluch Garden, Lluch Park, Palao, Iligan City Iligan City, District of Columbia 9200
po box 1003, 3617 Buttermilk Creek Road harrisonburg, Virginia 22803
P.O. Box 1136 Murphy, North Carolina 28906
P. O. Box 571 Palestine, Arkansas 72372
32 Wildbriar Road Rochester, New York 14623
266 Lincoln St. Worcester, Massachusetts 1065
218 Bagatelle Rd Melville, New York 11747
200 Assembly Drive Piedmont, South Carolina 29673
P O Box 1527 Medina, Ohio 44258
Hwy 127 Dunnville, Kentucky 42528
 13320 Bunchgrass Lane Missoula, Montana 59808
Hwy 21 West Nacogdoches, Texas 75964
Battlefield Road Perryville, Kentucky 40468
MAGTFTC Twentynine Palms, California 92278
old summerville rd summerville, South Carolina 29483
RR 3 Box 69 Shoals, Indiana 47581
650 Pascack Rd Paramus, New Jersey 7652
PO Box 14445 Durham, North Carolina 27709
P. O. Box 394 Calera, Oklahoma 74730
1350 South Main St Wake Forest, North Carolina 27587
215 Kinston Hwy. Richlands, North Carolina 28574
211 E. St. James Tarboro, North Carolina 27886
6301 Main St. PO Box 211 Williamsville, New York 14231-0211
608 Arthur Stanton, North Dakota 58571
1667 Frank Ave Huron, South Dakota 57350
MAIN ST MONTCALM, West Virginia 24740
2023 20th Street South Brookings, South Dakota 57006
810 8th Ave NE Aberdeen, South Dakota 57401
453 Elmont Road Elmont, New York 11003
po box 227 La Vernia, Texas 78121
swan rd. trujillo, Mississippi 32143
LA 44 Paulina, Louisiana 70763
No Physical Address Milton, Delaware 19968
332 Fitch Street Syracuse, New York 13204
1307 Springfield Ave. New Providence, New Jersey 07974
rt.5 box 5 olney, Texas 76374
4905 S. HWY 16 Rapid City, South Dakota 57701
1838 Shore Road Linwood, New Jersey 8221
2331 Oakland Road Hamer, South Carolina 29547
285 East Henrietta Road Rochester, New York 14620
P O Box 225 Banner, Kentucky 41603
1275 Joe Moore Road Thomasville, North Carolina 27360
1605 Neuse Boulevard New Bern, North Carolina 28560
205 F Street NE Washington DC, District of Columbia 20002
P. O. Box 1550 Rosenberg, Texas 77471
3188 Rt. 94 Franklin , New Jersey 7416
P.O. Box160 Wilton, Alabama 35187
720 E Main St Mt. Kisco, New York 10549
335 Woodland Shores Road Charleston, South Carolina 29412
585 Fourth Avenue Troy, New York 12182
50 Woodland Hills Road Asheville, North Carolina 28804
Kingsport kingsport, Tennessee 37660
PO Box 2337 Huntersville, North Carolina 28070
149 Circle Dr. Walnut Cove, North Carolina 27052
Highway 9 Keota, Oklahoma 74941
C/O 314 SUNSET DR. SWEETWATER, Tennessee 37874
Av. Venezuela, Esquina Puerto Rico, Ensanche Ozama Sto. Dgo., Delaware 0001
Box 463 Shirley, Indiana 47384
8596 Fayetteville Hwy Godwin, North Carolina 28344
Hwy 7 N Hot Springs, Arkansas 71901
501-503 N. Superior Albion, Michigan 49224
245 S. Church St. Spartanburg, South Carolina 29306
Whig St. Salamanca, New York 14779
p o 125 Campaign, Tennessee 38550
1511 Main Street (P.O. Box 848) Ramseur, North Carolina 27316
836 Broad Swamp rd Kingstree, South Carolina 29556
Pittman Rd Moselle, Mississippi 39459
Mabini-Delgado Streets Ilo-ilo, Arkansas 05000
Box 18 Lake Fork, Illinois 62541
1240 Russell Street Orangeburg, South Carolina 29115
502 S. Love St. Lovington, New Mexico 88260
PO BOX 4204 EDEN, North Carolina 27289
Rt 2 Box 391 Crescent, Oklahoma 73028
c/o 560 Cuyahoga St. Kent, Ohio 44240
168 West 225th Street  Bronx, New York 10463
5801 oyster catcher dr #723 north myrtle beach, South Carolina 29582
33 Brass Castle Road Washington, New Jersey 07882
Nickajack RD Flintstone, Georgia 30725
3811 S. Washington Ave Marshall,, Texas 75671
46 Wilson Drive Berkeley Heights, New Jersey 7922
N N 441 North Lake City , Florida 32055
311 Centennial Lane Dunn, North Carolina 28334
1297 Nth 16th St Clarksburg, West Virginia 26301
P. O. Box 1814 Verona, Mississippi 38879
Internet Internet, Pennsylvania Internet
Cross Ave Pearisburg, Virginia 24134
58 Allen Street Asheville, North Carolina 28806
2376 Racetrack Road Sophia, North Carolina 27350
Cleveland Cleveland, Ohio 44128
30 Nazarene Drive Augusta, Maine 4330
633 lower Creek Drive Lenoir, North Carolina 28645
506 Cassata Dr. Copiague, New York 11726
900 Klondale Kannapolis, North Carolina 28081
PO BOX 64 MARSHFIELD, Missouri 65706
92 - 102 S. 6th St. Newark, New Jersey 07107
P O Box 642 Neosho, Missouri 64850
1012 Second Street Moundsville, West Virginia 26041
PO Box 97 Glen Daniel, West Virginia 25844
Highway 27 Albion, Idaho 83311
Van Leuven St. Loma Linda, California 92354
P.O. BOX 14 SALLIS, Mississippi 39160
95-219 Puakai Pl. Mililani, Hawaii 96789
881 Tigerville Road Travelers Rest, South Carolina 29690
Po Box 172 Mt Morris, Pennsylvania 15349
97 Willowood Hurricane, West Virginia 25526
801 Mann St Newport, North Carolina 28570
Randolph St.  Thomasville, North Carolina 27360
6th Avenue Kearney, Nebraska 68847
5048 Ronda, North Carolina 28670
902 Central Ave. N Kenmare, North Dakota 58746
1921 Main Street Hartford, Connecticut 6120
312 Giles Byrd Rd. Hallsboro, North Carolina 28442
Meads Creek Road Coopers Plains, New York 14827
1722 Main St Buffalo, New York 14209
PO Box 122 Allentown, New Jersey 08505
80 N. Congress St. York, South Carolina 29745
6701 Idlewild Road Charlotte, North Carolina 28212
398 Chestnut Street Union, New Jersey 07083
Gloster Tupelo, Mississippi 38801
703 17th Ave. Lake Como, New Jersey 7719
345 Hickory Airport Road Hickory, North Carolina 28601
6895 Hwy 341 Kershaw, South Carolina 29067
203 S. Main Street Duncan, South Carolina 29334
133 Pin Oak Dr.  Greenwood, South Carolina 29649
461 6th Street Brooklyn, New York 11215
HWY. 29 Chatham, Virginia 24531
Tabernacle of Praise Hannibal, Missouri 63401
530 New Brunswick Ave Rahway, New Jersey 07053
po box 71 Arlington, Texas 76017
Apata Eyenkorin  Ilorin, Alaska 23401
P.O. box126 Vincent, Ohio 45784
47  Exchange Street Geneva, New York 14456
111 Busbin Road Spartanburg, South Carolina 29307
1301 Icemorlee Street Monroe, North Carolina 28110
109 Court Street Little Valley, New York 14755
US Hwy 301 S Lucama, North Carolina 27851
Old Providence Rd. Virginia Beach, Virginia 23464
709 Poplar Branch Rd. Grandy, North Carolina 27939
Antioch Road Wetumpka, Alabama 36092
10012-122nd St E Puyallup, Washington 98373
Chestnut St. &amp; Sunbeam Rd Leitchfield, Kentucky 42754
retired decatur, Alabama 35601
Maine &amp; Halstead St East Orange, New Jersey 07108
Box 17817 Nashville, Tennessee 37217
310 E. Wilbeth rd. Akron, Ohio 4431
PO Box 23 Livonia, New York 14487-0023
420 Christopher Road Shelby, North Carolina 28152
PO Box 9 Waneta, Kentucky 0448-0009
1613 Main St. West Warwick, Rhode Island 02893
2240 N. New Hope Rd Gastonia, North Carolina 28054
25 Tudor City Place New York, New York 10017
Potomac Street Ridgeley, West Virginia 26753
s Sunset Drive Broadway, Virginia 22815
48 Church St. Lisbon, New York 13658
classified facebook Ham Lake, Minnesota 55304
Friendship Church Rd Jonesville, Kentucky 42757
Golden Gate Community Center Naples, Florida 34116
245 Franklin Street Paterson, New Jersey 7513
don't remember Logansport, Indiana 46947
114 gott road princeton, West Virginia 24740
P.O.Box 297 Magnolia, Arkansas 71753
P. O. Box 892 Monett, Missouri 65708
247 Smithtown Blvd Nesconset, New York 11779
Malone Rd. Douglasville, Georgia 30134
PO Box 56 Whitakers, North Carolina 27891
Rt 1 Box 394 Broken Bow, Oklahoma 74728
4900 W. Wendover Ave. Jamestown, North Carolina 27282
P.O. Box 596 Norwood, North Carolina 28128
369 Route 39W Arcade, New York 14009
PO Box 4737 Rock Hill, South Carolina 29730
p.o. box 54 Yampa, Colorado 80483
5827 JFK Boulevard North Bergen, New Jersey 7047
253 Central Ave. Rahway, New Jersey 7065
3906 Cameron Run Lane Matthews, North Carolina 28105
PO Box 95 Ridgeland, South Carolina 29936
South Wolf Creek Rd Pell City, Alabama 35125
Mire Hwy Rayne, Louisiana 70578
po box 1003 1639 gravels road harrisonburg, Virginia 22803
PO Box 58112 Raleigh, North Carolina 27658
13780 FRANCES ST GIBSON, North Carolina 28343
web worldwide, Tennessee 0
626 Plandome Rd. Manhasset, New York 11030
106 Plant Road, P.O. Box 243 Salisbury Center, New York 13454
200 Rhode Is Ave Washington, District of Columbia 20002
120 Gifford Street Syracuse, New York 13202
Gallatin Rd. Nashville, Tennessee 37206
Smith St.  Mathew Town, Florida 32920
320 E Catawba St Belmont, North Carolina 28012
411 Fountain Ave. Burlington, New Jersey 8016
PO BOX 441637 Aurora, Colorado 80044
4268 Wetzel Road Liverpool, New York 13090
313 N. Bright Leaf Blvd Smithfield, North Carolina 27577
6646 Deans Street Bailey, North Carolina 27807
535 Oates Rd. Gastonia, North Carolina 28052
465 Hartness Rd. Statesville, North Carolina 28677
2630 bennett rd
575 Cape Hickory rd. hickory, North Carolina 28601
Zone 10, Bulua Cagayan de Oro, California 90000
150 South Main Street Mauldin, South Carolina 29662
1801 Chestnut Street Kenova, West Virginia 25530
1701 4th Street West Williston, North Dakota 58801
447 N, 17th St Muskogee, Oklahoma Oklahoma, Oklahoma 30125
Box 2578 Acworth, Georgia 30102
Box 3067 Leesville, South Carolina 29070
907 2nd Avenue NW Hickory, North Carolina 28601
3205 Harold St Schenectady, New York 12306
819 S. Main St. New Ellenton, South Carolina 29809
218 Annafrel St. Rock Hill, South Carolina 29730
Rockrimmon Colorado Springs, Colorado 80919
P.O. Box 70495 Springfield, Massachusetts 1107
Hwy 5 Douglasville, Georgia 30187
673 Sunny Slope Dr Cowpens, South Carolina 29330
3476 Poplar Tent Rd., NW Concord, North Carolina 28027
3231 Ladson Road Ladson, South Carolina 29456
Rt. 34B and Ridge Rd. Union Springs , New York 13160
1301 Old Greenville Hwy Liberty, South Carolina 29657
2910 Kanawhat Terrace St. Albans, West Virginia 25177
140 Denow Rd. Lawrenceville, New Jersey 08648
36 Bay Shore Rd. West Islip, New York 11795
42 Broad Street Elizabeth, New Jersey 7206
1b Aroma close, Ilaje Lagos, Florida 123401
POB 822052 Ft Worth, Texas 76182
9800 Walker Charlotte, North Carolina 28214
1311 South Main Street Pleasantville, New Jersey 8232
P. O. Box 163 Lansing, Illinois 60438
Red Bud Dr Gastonia, North Carolina 28054
20 Pleasant Pl. Farmingville , New York 11738
6724 Hwy 24 Townville, South Carolina 29689
none none, Alabama nb111nb
U S Hwy 259 N Ore City, Texas 75683
none Thomasville, North Carolina 27360
P.O. 132 S. Union Street pennville, Indiana 47369
2018 Riddle Road Durham, North Carolina 27713
new plant Anchorage, Texas 78232
Old Powell Rd. Thomasville, Georgia 31792
729 Maple Avenue New Martinsville, West Virginia 26155
801 Stewartsville Rd Laurinburg, North Carolina 28351
P. O. Box 397 Krotz Springs, Louisiana 70750
2100 N. Plaza Ave Rapid City, South Dakota 57702
Rt 28 Summerville, Pennsylvania 15864
